cntry,att_label,att_norm,vote_label,vote_norm,rule,same
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Natzionalno Dvijenie Simeon II (NDSV),natzionalno dvijenie simeon ii ndsv,none,FALSE
BG,SDS,sds,SDS,sds,exact,TRUE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,SDS,sds,none,FALSE
BG,Natzionalno Dvijenie Simeon II (NDSV),natzionalno dvijenie simeon ii ndsv,Natzionalno Dvijenie Simeon II (NDSV),natzionalno dvijenie simeon ii ndsv,exact,TRUE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,none,FALSE
BG,BZNS,bzns,Natzionalno Dvijenie Simeon II (NDSV),natzionalno dvijenie simeon ii ndsv,none,FALSE
BG,PP Ataka,pp ataka,SDS,sds,none,FALSE
BG,PP Ataka,pp ataka,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,none,FALSE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Coalition of the rose,coalition of the rose,none,FALSE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Novoto Vreme,novoto vreme,none,FALSE
BG,SDS,sds,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,none,FALSE
